"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.67400";"439.08334"
"0.67200";"438.62500"
"0.67000";"438.08334"
"0.66800";"437.66666"
"0.66600";"437.25000"
"0.66400";"436.87500"
"0.66200";"436.45834"
"0.66000";"436.04166"
"0.65800";"435.62500"
"0.65600";"435.29166"
"0.65400";"434.87500"
"0.65200";"434.50000"
"0.65000";"434.12500"
"0.64800";"433.75000"
"0.64600";"433.41666"
"0.64400";"433.00000"
"0.64200";"432.58334"
"0.64000";"432.16666"
"0.63800";"431.83334"
"0.63600";"431.41666"
"0.63400";"431.00000"
"0.63200";"430.54166"
"0.63000";"430.16666"
"0.62800";"429.83334"
"0.62600";"429.41666"
"0.62400";"429.00000"
"0.62200";"428.58334"
"0.62000";"428.12500"
"0.61800";"427.75000"
"0.61600";"427.25000"
"0.61400";"426.87500"
"0.61200";"426.45834"
"0.61000";"426.04166"
"0.60800";"425.54166"
"0.60600";"425.00000"
"0.60400";"424.50000"
"0.60200";"424.04166"
"0.60000";"423.58334"
"0.59800";"423.12500"
"0.59600";"422.62500"
"0.59400";"422.20834"
"0.59200";"421.83334"
"0.59000";"421.45834"
"0.58800";"421.00000"
"0.58600";"420.50000"
"0.58400";"420.04166"
"0.58200";"419.66666"
"0.58000";"419.20834"
"0.57800";"418.70834"
"0.57600";"418.16666"
"0.57400";"417.75000"
"0.57200";"417.33334"
"0.57000";"416.87500"
"0.56800";"416.33334"
"0.56600";"415.75000"
"0.56400";"415.20834"
"0.56200";"414.79166"
"0.56000";"414.33334"
"0.55800";"413.83334"
"0.55600";"413.20834"
"0.55400";"412.62500"
"0.55200";"412.04166"
"0.55000";"411.50000"
"0.54800";"410.95834"
"0.54600";"410.37500"
"0.54400";"409.79166"
"0.54200";"409.25000"
"0.54000";"408.70834"
"0.53800";"408.04166"
"0.53600";"407.37500"
"0.53400";"406.66666"
"0.53200";"406.08334"
"0.53000";"405.41666"
"0.52800";"404.75000"
"0.52600";"404.04166"
"0.52400";"403.33334"
"0.52200";"402.66666"
"0.52000";"402.00000"
"0.51800";"401.33334"
"0.51600";"400.54166"
"0.51400";"399.66666"
"0.51200";"398.79166"
"0.51000";"397.95834"
"0.50800";"397.08334"
"0.50600";"396.16666"
"0.50400";"395.29166"
"0.50200";"394.41666"
"0.50000";"393.58334"
"0.49800";"392.66666"
"0.49600";"391.87500"
"0.49400";"391.04166"
"0.49200";"390.16666"
"0.49000";"389.16666"
"0.48800";"388.16666"
"0.48600";"387.20834"
"0.48400";"386.29166"
"0.48200";"385.25000"
